Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,010092,2000,07,9.7
IDCJAC0003,010092,2000,08,13.4
IDCJAC0003,010092,2000,09,19.4
IDCJAC0003,010092,2000,10,24.8
IDCJAC0003,010092,2000,11,28.4
IDCJAC0003,010092,2000,12,30.4
IDCJAC0003,010092,2001,01,25.2
IDCJAC0003,010092,2001,02,23.3
IDCJAC0003,010092,2001,03,24.5
IDCJAC0003,010092,2001,04,16.7
IDCJAC0003,010092,2001,05,11.1
IDCJAC0003,010092,2001,06,11.2
IDCJAC0003,010092,2001,07,10.1
IDCJAC0003,010092,2001,08,14.5
IDCJAC0003,010092,2001,09,17.1
IDCJAC0003,010092,2001,10,22.2
IDCJAC0003,010092,2001,11,27.3
IDCJAC0003,010092,2001,12,28.8
IDCJAC0003,010092,2002,01,28.1
IDCJAC0003,010092,2002,02,26.9
IDCJAC0003,010092,2002,03,23.0
IDCJAC0003,010092,2002,04,14.2
IDCJAC0003,010092,2002,05,12.0
IDCJAC0003,010092,2002,06,9.4
IDCJAC0003,010092,2002,07,10.7
IDCJAC0003,010092,2002,08,14.6
IDCJAC0003,010092,2002,09,20.4
IDCJAC0003,010092,2002,10,23.2
IDCJAC0003,010092,2002,11,29.0
IDCJAC0003,010092,2002,12,28.9
IDCJAC0003,010092,2003,01,29.9
IDCJAC0003,010092,2003,02,24.9
IDCJAC0003,010092,2003,03,21.6
IDCJAC0003,010092,2003,04,15.2
IDCJAC0003,010092,2003,05,11.0
IDCJAC0003,010092,2003,06,10.7
IDCJAC0003,010092,2003,07,9.9
IDCJAC0003,010092,2003,08,13.5
IDCJAC0003,010092,2003,09,17.3
IDCJAC0003,010092,2003,10,24.5
IDCJAC0003,010092,2003,11,27.0
IDCJAC0003,010092,2003,12,30.5
IDCJAC0003,010092,2004,01,29.5
IDCJAC0003,010092,2004,02,26.1
IDCJAC0003,010092,2004,03,22.2
IDCJAC0003,010092,2004,04,15.9
IDCJAC0003,010092,2004,05,11.9
IDCJAC0003,010092,2004,06,9.1
IDCJAC0003,010092,2004,07,10.8
IDCJAC0003,010092,2004,08,14.1
IDCJAC0003,010092,2004,09,18.5
IDCJAC0003,010092,2004,10,22.6
IDCJAC0003,010092,2004,11,25.9
IDCJAC0003,010092,2004,12,30.8
IDCJAC0003,010092,2005,01,30.2
IDCJAC0003,010092,2005,02,24.8
IDCJAC0003,010092,2005,03,18.2
IDCJAC0003,010092,2005,04,16.5
IDCJAC0003,010092,2005,05,10.5
IDCJAC0003,010092,2005,06,9.2
IDCJAC0003,010092,2005,07,11.7
IDCJAC0003,010092,2005,08,12.9
IDCJAC0003,010092,2005,09,18.3
IDCJAC0003,010092,2005,10,23.3
IDCJAC0003,010092,2005,11,28.3
IDCJAC0003,010092,2006,01,26.9
IDCJAC0003,010092,2006,02,26.6
IDCJAC0003,010092,2006,03,22.6
IDCJAC0003,010092,2006,04,15.7
IDCJAC0003,010092,2006,05,12.3
IDCJAC0003,010092,2006,06,11.2
IDCJAC0003,010092,2006,07,11.2
IDCJAC0003,010092,2006,08,14.3
IDCJAC0003,010092,2006,09,18.4
IDCJAC0003,010092,2006,10,23.7
IDCJAC0003,010092,2006,11,25.3
IDCJAC0003,010092,2006,12,29.4
IDCJAC0003,010092,2007,01,28.9
IDCJAC0003,010092,2007,02,25.4
IDCJAC0003,010092,2007,03,22.7
IDCJAC0003,010092,2007,04,16.0
IDCJAC0003,010092,2007,05,12.3
IDCJAC0003,010092,2007,06,10.2
IDCJAC0003,010092,2007,07,10.6
IDCJAC0003,010092,2007,08,14.6
IDCJAC0003,010092,2007,09,18.4
IDCJAC0003,010092,2007,10,24.2
IDCJAC0003,010092,2007,11,30.0
IDCJAC0003,010092,2007,12,27.0
IDCJAC0003,010092,2008,01,29.5
IDCJAC0003,010092,2008,02,23.5
IDCJAC0003,010092,2008,03,20.2
IDCJAC0003,010092,2008,04,14.8
IDCJAC0003,010092,2008,05,12.4
IDCJAC0003,010092,2008,06,10.2
IDCJAC0003,010092,2008,07,10.0
IDCJAC0003,010092,2008,08,14.7
IDCJAC0003,010092,2008,09,17.2
IDCJAC0003,010092,2008,10,21.3
IDCJAC0003,010092,2008,11,25.9
IDCJAC0003,010092,2008,12,30.6
IDCJAC0003,010092,2009,01,27.3
IDCJAC0003,010092,2009,02,25.4
IDCJAC0003,010092,2009,03,21.9
IDCJAC0003,010092,2009,04,16.2
IDCJAC0003,010092,2009,05,12.8
IDCJAC0003,010092,2009,06,9.4
IDCJAC0003,010092,2009,07,10.5
IDCJAC0003,010092,2009,08,13.0
IDCJAC0003,010092,2009,09,17.5
