Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0007,002056,2004,26.9,18,26.5,16,26.7,10,24.4,02,25.9,20,23.6,03,18.1,18,19.9,31,22.9,30,28.1,28,27.6,12,28.2,14,28.2
IDCJAC0007,002056,2005,27.5,27,26.5,02,29.0,14,24.6,12,23.0,02,23.6,19,25.5,25,23.5,07,26.5,25,28.5,25,28.1,07,27.9,25,29.0
IDCJAC0007,002056,2006,26.7,23,26.8,12,25.9,10,25.9,05,22.3,01,19.4,27,19.4,01,22.5,30,24.0,09,26.6,29,26.9,24,27.9,31,27.9
IDCJAC0007,002056,2007,27.9,07,28.3,04,27.4,03,25.3,04,25.3,20,22.3,01,16.9,18,20.2,17,25.5,30,27.5,14,27.0,21,28.7,04,28.7
IDCJAC0007,002056,2008,27.1,18,27.2,02,26.7,09,24.1,04,19.5,28,19.5,20,17.8,02,22.3,28,26.7,24,28.5,23,29.3,24,27.5,08,29.3
IDCJAC0007,002056,2009,27.4,12,25.7,07,26.8,03,24.1,13,23.5,05,20.9,01,22.4,27,22.0,31,25.7,05,25.5,05,28.0,23,27.9,01,28.0
IDCJAC0007,002056,2010,27.8,28,27.1,10,26.7,08,26.5,07,25.3,28,19.6,20,23.6,14,24.9,28,27.3,25,25.7,30,26.7,30,26.8,10,27.8
IDCJAC0007,002056,2011,26.3,07,26.5,05,26.3,31,24.8,09,20.9,09,18.5,10,19.5,08,17.8,19,21.5,09,25.2,13,27.2,24,27.2,21,27.2
IDCJAC0007,002056,2012,27.5,17,26.2,05,26.0,19,24.4,21,22.7,11,18.6,18,19.3,16,18.3,11,22.8,30,25.9,12,26.9,17,27.5,04,27.5
IDCJAC0007,002056,2013,27.9,27,26.3,15,26.6,14,25.3,01,25.2,13,24.1,03,23.5,08,20.9,22,23.9,29,27.4,25,27.7,18,28.0,13,28.0
IDCJAC0007,002056,2014,26.3,14,26.3,25,26.2,10,26.1,06,25.9,03,22.9,07,20.9,28,22.5,03,22.3,13,25.3,31,27.9,25,28.7,15,28.7
IDCJAC0007,002056,2015,27.1,23,27.3,19,27.2,18,25.5,06,23.6,22,24.4,02,21.9,28,21.8,29,24.2,09,26.7,31,27.7,28,27.7,04,27.7
IDCJAC0007,002056,2016,27.7,29,27.7,13,28.3,30,24.8,06,25.4,03,24.9,01,23.3,12,25.2,31,25.1,11,27.2,04,27.9,09,29.0,01,29.0
IDCJAC0007,002056,2017,27.4,09,25.7,20,26.7,29,25.2,27,22.4,29,20.3,30,21.9,11,20.5,25,25.8,29,28.1,16,27.3,30,27.7,10,28.1
IDCJAC0007,002056,2018,26.4,16,26.8,05,26.0,18,24.8,15,25.3,05,22.2,16,19.2,01,20.5,31,23.0,10,26.2,21,27.2,23,29.2,21,29.2
IDCJAC0007,002056,2019,28.5,03,27.5,14,26.9,13,27.6,05,27.0,04,22.4,18,18.0,14,22.6,20,24.6,29,26.8,20,26.9,25,27.9,31,28.5
IDCJAC0007,002056,2020,28.6,02,30.3,27,26.0,14,27.1,03,24.4,01,19.7,22,24.1,04,20.7,14,25.3,23,26.7,24,28.3,27,27.8,14,30.3
IDCJAC0007,002056,2021,27.2,13,26.8,04,26.5,25,24.6,01,22.3,28,23.1,05,17.4,29,21.6,13,25.2,29,28.0,22,28.3,12,29.2,17,29.2
IDCJAC0007,002056,2022,26.9,23,26.5,23,26.2,24,24.2,19,25.7,01,24.4,07,16.9,27,21.6,20,24.3,29,27.0,28,26.7,19,27.1,26,27.1
IDCJAC0007,002056,2023,26.4,13,27.1,19,26.2,09,25.8,08,22.3,08,22.6,28,19.6,23,22.8,19,22.8,28,26.2,27,27.7,20,28.5,26,28.5
IDCJAC0007,002056,2024,28.2,03,27.5,03,27.0,18,25.7,03,24.7,11,21.8,30,24.1,01,19.3,31,,,,,,,,,
