Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,002056,2003,12,20.9,24,Y
IDCJAC0008,002056,2004,01,21.3,22,Y
IDCJAC0008,002056,2004,02,21.9,04,Y
IDCJAC0008,002056,2004,03,22.5,29,Y
IDCJAC0008,002056,2004,04,15.0,21,Y
IDCJAC0008,002056,2004,05,14.7,01,Y
IDCJAC0008,002056,2004,06,8.2,19,Y
IDCJAC0008,002056,2004,07,7.6,23,Y
IDCJAC0008,002056,2004,08,11.8,22,Y
IDCJAC0008,002056,2004,09,12.5,15,Y
IDCJAC0008,002056,2004,10,19.4,25,Y
IDCJAC0008,002056,2004,11,21.9,15,Y
IDCJAC0008,002056,2004,12,22.4,27,Y
IDCJAC0008,002056,2005,01,21.5,08,Y
IDCJAC0008,002056,2005,02,22.8,22,Y
IDCJAC0008,002056,2005,03,18.8,28,Y
IDCJAC0008,002056,2005,04,18.7,21,Y
IDCJAC0008,002056,2005,05,12.0,20,Y
IDCJAC0008,002056,2005,06,8.8,30,Y
IDCJAC0008,002056,2005,07,9.1,01,Y
IDCJAC0008,002056,2005,08,10.6,10,Y
IDCJAC0008,002056,2005,09,16.8,21,Y
IDCJAC0008,002056,2005,10,22.7,03,Y
IDCJAC0008,002056,2005,11,22.7,19,Y
IDCJAC0008,002056,2005,12,22.3,12,Y
IDCJAC0008,002056,2006,01,21.3,12,Y
IDCJAC0008,002056,2006,02,21.7,18,Y
IDCJAC0008,002056,2006,03,22.4,17,Y
IDCJAC0008,002056,2006,04,18.5,09,Y
IDCJAC0008,002056,2006,05,9.9,30,Y
IDCJAC0008,002056,2006,06,9.8,22,Y
IDCJAC0008,002056,2006,07,8.2,21,Y
IDCJAC0008,002056,2006,08,10.6,07,Y
IDCJAC0008,002056,2006,09,12.6,02,Y
IDCJAC0008,002056,2006,10,16.4,08,Y
IDCJAC0008,002056,2006,11,20.3,28,Y
IDCJAC0008,002056,2006,12,22.5,29,Y
IDCJAC0008,002056,2007,01,22.7,29,Y
IDCJAC0008,002056,2007,02,21.8,20,Y
IDCJAC0008,002056,2007,03,21.0,01,Y
IDCJAC0008,002056,2007,04,18.6,23,Y
IDCJAC0008,002056,2007,05,15.6,24,Y
IDCJAC0008,002056,2007,06,7.8,30,Y
IDCJAC0008,002056,2007,07,7.4,22,Y
IDCJAC0008,002056,2007,08,8.6,07,Y
IDCJAC0008,002056,2007,09,10.6,07,Y
IDCJAC0008,002056,2007,10,15.8,01,Y
IDCJAC0008,002056,2007,11,18.5,25,Y
IDCJAC0008,002056,2007,12,22.5,10,Y
IDCJAC0008,002056,2008,01,21.3,14,Y
IDCJAC0008,002056,2008,02,22.9,20,Y
IDCJAC0008,002056,2008,03,20.8,31,Y
IDCJAC0008,002056,2008,04,13.8,27,Y
IDCJAC0008,002056,2008,05,11.0,21,Y
IDCJAC0008,002056,2008,06,10.6,28,Y
IDCJAC0008,002056,2008,07,7.2,11,Y
IDCJAC0008,002056,2008,08,9.9,20,Y
IDCJAC0008,002056,2008,09,14.7,26,Y
IDCJAC0008,002056,2008,10,18.0,12,Y
IDCJAC0008,002056,2008,11,24.1,12,Y
IDCJAC0008,002056,2008,12,22.6,15,Y
IDCJAC0008,002056,2009,01,22.4,26,Y
IDCJAC0008,002056,2009,02,22.5,10,Y
IDCJAC0008,002056,2009,03,19.2,20,Y
IDCJAC0008,002056,2009,04,15.9,30,Y
IDCJAC0008,002056,2009,05,12.0,13,Y
IDCJAC0008,002056,2009,06,8.1,20,Y
IDCJAC0008,002056,2009,07,9.0,18,Y
IDCJAC0008,002056,2009,08,10.4,05,Y
IDCJAC0008,002056,2009,09,15.4,10,Y
IDCJAC0008,002056,2009,10,15.0,11,Y
IDCJAC0008,002056,2009,11,19.8,25,Y
IDCJAC0008,002056,2009,12,20.0,04,Y
IDCJAC0008,002056,2010,01,22.2,31,Y
IDCJAC0008,002056,2010,02,21.9,01,Y
IDCJAC0008,002056,2010,03,21.0,12,Y
IDCJAC0008,002056,2010,04,19.7,24,Y
IDCJAC0008,002056,2010,05,14.7,09,Y
IDCJAC0008,002056,2010,06,11.4,08,Y
IDCJAC0008,002056,2010,07,14.3,22,Y
IDCJAC0008,002056,2010,08,11.0,14,Y
IDCJAC0008,002056,2010,09,13.9,01,Y
IDCJAC0008,002056,2010,10,18.1,19,Y
IDCJAC0008,002056,2010,11,16.4,06,Y
IDCJAC0008,002056,2010,12,20.8,02,Y
IDCJAC0008,002056,2011,01,21.9,28,Y
IDCJAC0008,002056,2011,02,22.5,14,Y
IDCJAC0008,002056,2011,03,22.6,10,Y
IDCJAC0008,002056,2011,04,14.7,19,Y
IDCJAC0008,002056,2011,05,10.4,29,Y
IDCJAC0008,002056,2011,06,6.7,14,Y
IDCJAC0008,002056,2011,07,8.9,25,Y
IDCJAC0008,002056,2011,08,10.9,02,Y
IDCJAC0008,002056,2011,09,9.3,14,Y
IDCJAC0008,002056,2011,10,17.9,18,Y
IDCJAC0008,002056,2011,11,22.3,04,Y
IDCJAC0008,002056,2011,12,22.2,03,Y
IDCJAC0008,002056,2012,01,21.6,21,Y
IDCJAC0008,002056,2012,02,21.1,10,Y
IDCJAC0008,002056,2012,03,18.9,26,Y
IDCJAC0008,002056,2012,04,11.9,30,Y
IDCJAC0008,002056,2012,05,8.6,30,Y
IDCJAC0008,002056,2012,06,7.7,21,Y
IDCJAC0008,002056,2012,07,6.7,07,Y
IDCJAC0008,002056,2012,08,7.3,14,Y
IDCJAC0008,002056,2012,09,12.5,11,Y
IDCJAC0008,002056,2012,10,13.9,15,Y
IDCJAC0008,002056,2012,11,21.2,19,Y
IDCJAC0008,002056,2012,12,20.6,27,Y
IDCJAC0008,002056,2013,01,21.4,31,Y
IDCJAC0008,002056,2013,02,21.5,19,Y
IDCJAC0008,002056,2013,03,21.2,20,Y
IDCJAC0008,002056,2013,04,14.1,28,Y
IDCJAC0008,002056,2013,05,11.3,27,Y
IDCJAC0008,002056,2013,06,10.5,17,Y
IDCJAC0008,002056,2013,07,6.4,27,Y
IDCJAC0008,002056,2013,08,7.0,06,Y
IDCJAC0008,002056,2013,09,15.2,08,Y
IDCJAC0008,002056,2013,10,15.3,06,Y
IDCJAC0008,002056,2013,11,19.5,02,Y
IDCJAC0008,002056,2013,12,21.2,17,Y
IDCJAC0008,002056,2014,01,18.8,09,Y
IDCJAC0008,002056,2014,02,19.9,23,Y
IDCJAC0008,002056,2014,03,16.9,29,Y
IDCJAC0008,002056,2014,04,17.5,20,Y
IDCJAC0008,002056,2014,05,14.8,09,Y
IDCJAC0008,002056,2014,06,8.5,11,Y
IDCJAC0008,002056,2014,07,7.3,03,Y
IDCJAC0008,002056,2014,08,6.3,17,Y
IDCJAC0008,002056,2014,09,10.0,01,Y
IDCJAC0008,002056,2014,10,13.9,18,Y
IDCJAC0008,002056,2014,11,23.1,12,Y
IDCJAC0008,002056,2014,12,22.5,04,Y
IDCJAC0008,002056,2015,01,22.0,12,Y
IDCJAC0008,002056,2015,02,19.5,05,Y
IDCJAC0008,002056,2015,03,20.0,13,Y
IDCJAC0008,002056,2015,04,13.4,27,Y
IDCJAC0008,002056,2015,05,9.2,17,Y
IDCJAC0008,002056,2015,06,9.4,27,Y
IDCJAC0008,002056,2015,07,8.7,21,Y
IDCJAC0008,002056,2015,08,10.2,06,Y
