Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,002056,2024,06,10,10.5,1,N
IDCJAC0011,002056,2024,06,11,11.4,1,N
IDCJAC0011,002056,2024,06,12,12.2,1,N
IDCJAC0011,002056,2024,06,13,12.6,1,N
IDCJAC0011,002056,2024,06,14,12.3,1,N
IDCJAC0011,002056,2024,06,15,12.2,1,N
IDCJAC0011,002056,2024,06,16,12.7,1,N
IDCJAC0011,002056,2024,06,17,13.1,1,Y
IDCJAC0011,002056,2024,06,18,11.5,1,N
IDCJAC0011,002056,2024,06,19,12.6,1,N
IDCJAC0011,002056,2024,06,20,13.0,1,N
IDCJAC0011,002056,2024,06,21,16.2,1,N
IDCJAC0011,002056,2024,06,22,16.0,1,N
IDCJAC0011,002056,2024,06,23,12.7,1,N
IDCJAC0011,002056,2024,06,24,9.3,1,N
IDCJAC0011,002056,2024,06,25,8.6,1,N
IDCJAC0011,002056,2024,06,26,10.3,1,N
IDCJAC0011,002056,2024,06,27,11.1,1,N
IDCJAC0011,002056,2024,06,28,15.6,1,N
IDCJAC0011,002056,2024,06,29,18.3,1,N
IDCJAC0011,002056,2024,06,30,21.8,1,N
IDCJAC0011,002056,2024,07,01,24.1,1,N
IDCJAC0011,002056,2024,07,02,22.8,1,N
IDCJAC0011,002056,2024,07,03,20.0,1,N
IDCJAC0011,002056,2024,07,04,17.5,1,N
IDCJAC0011,002056,2024,07,05,11.1,1,N
IDCJAC0011,002056,2024,07,06,10.8,1,N
IDCJAC0011,002056,2024,07,07,11.7,1,N
IDCJAC0011,002056,2024,07,08,16.7,1,N
IDCJAC0011,002056,2024,07,09,18.0,1,N
IDCJAC0011,002056,2024,07,10,19.1,1,N
IDCJAC0011,002056,2024,07,11,15.0,1,N
IDCJAC0011,002056,2024,07,12,13.9,1,N
IDCJAC0011,002056,2024,07,13,14.0,1,N
IDCJAC0011,002056,2024,07,14,14.1,1,N
IDCJAC0011,002056,2024,07,15,13.7,1,N
IDCJAC0011,002056,2024,07,16,15.5,1,N
IDCJAC0011,002056,2024,07,17,12.4,1,N
IDCJAC0011,002056,2024,07,18,8.9,1,N
IDCJAC0011,002056,2024,07,19,6.6,1,N
IDCJAC0011,002056,2024,07,20,6.5,1,N
IDCJAC0011,002056,2024,07,21,8.7,1,N
IDCJAC0011,002056,2024,07,22,10.7,1,Y
IDCJAC0011,002056,2024,07,23,9.8,1,N
IDCJAC0011,002056,2024,07,24,9.4,1,N
IDCJAC0011,002056,2024,07,25,12.9,1,N
IDCJAC0011,002056,2024,07,26,20.1,1,N
IDCJAC0011,002056,2024,07,27,22.6,1,N
IDCJAC0011,002056,2024,07,28,20.5,1,N
IDCJAC0011,002056,2024,07,29,22.1,1,N
IDCJAC0011,002056,2024,07,30,22.3,1,N
IDCJAC0011,002056,2024,07,31,16.7,1,N
IDCJAC0011,002056,2024,08,01,12.7,1,Y
IDCJAC0011,002056,2024,08,02,12.9,1,Y
IDCJAC0011,002056,2024,08,03,14.5,1,Y
IDCJAC0011,002056,2024,08,04,13.8,1,Y
IDCJAC0011,002056,2024,08,05,15.5,1,Y
IDCJAC0011,002056,2024,08,06,17.0,1,Y
IDCJAC0011,002056,2024,08,07,17.4,1,Y
IDCJAC0011,002056,2024,08,08,16.6,1,Y
IDCJAC0011,002056,2024,08,09,14.9,1,Y
IDCJAC0011,002056,2024,08,10,11.4,1,Y
IDCJAC0011,002056,2024,08,11,13.7,1,Y
IDCJAC0011,002056,2024,08,12,12.1,1,Y
IDCJAC0011,002056,2024,08,13,12.0,1,Y
IDCJAC0011,002056,2024,08,14,12.2,1,Y
IDCJAC0011,002056,2024,08,15,12.9,1,Y
IDCJAC0011,002056,2024,08,16,12.7,1,Y
IDCJAC0011,002056,2024,08,17,12.5,1,Y
IDCJAC0011,002056,2024,08,18,13.2,1,Y
IDCJAC0011,002056,2024,08,19,14.8,1,Y
IDCJAC0011,002056,2024,08,20,16.2,1,Y
IDCJAC0011,002056,2024,08,21,17.0,1,Y
IDCJAC0011,002056,2024,08,22,17.7,1,Y
IDCJAC0011,002056,2024,08,23,18.7,1,Y
IDCJAC0011,002056,2024,08,24,19.0,1,Y
IDCJAC0011,002056,2024,08,25,17.5,1,Y
IDCJAC0011,002056,2024,08,26,17.5,1,Y
IDCJAC0011,002056,2024,08,27,18.1,1,Y
IDCJAC0011,002056,2024,08,28,19.3,1,Y
IDCJAC0011,002056,2024,08,29,18.2,1,Y
IDCJAC0011,002056,2024,08,30,18.5,1,Y
IDCJAC0011,002056,2024,08,31,19.3,1,Y
IDCJAC0011,002056,2024,09,01,21.4,1,N
IDCJAC0011,002056,2024,09,02,19.9,1,N
IDCJAC0011,002056,2024,09,03,20.0,1,N
IDCJAC0011,002056,2024,09,04,20.4,1,N
IDCJAC0011,002056,2024,09,05,16.7,1,N
IDCJAC0011,002056,2024,09,06,21.1,1,N
IDCJAC0011,002056,2024,09,07,21.6,1,N
IDCJAC0011,002056,2024,09,08,20.8,1,N
IDCJAC0011,002056,2024,09,09,20.4,1,N
IDCJAC0011,002056,2024,09,10,20.0,1,N
IDCJAC0011,002056,2024,09,11,18.4,1,N
IDCJAC0011,002056,2024,09,12,19.1,1,N
IDCJAC0011,002056,2024,09,13,27.0,1,N
IDCJAC0011,002056,2024,09,14,22.3,1,N
IDCJAC0011,002056,2024,09,15,14.8,1,N
IDCJAC0011,002056,2024,09,16,16.5,1,N
IDCJAC0011,002056,2024,09,17,19.6,1,N
IDCJAC0011,002056,2024,09,18,17.7,1,N
IDCJAC0011,002056,2024,09,19,20.4,1,N
IDCJAC0011,002056,2024,09,20,23.5,1,N
IDCJAC0011,002056,2024,09,21,23.3,1,N
IDCJAC0011,002056,2024,09,22,23.8,1,N
IDCJAC0011,002056,2024,09,23,24.4,1,N
IDCJAC0011,002056,2024,09,24,22.0,1,N
IDCJAC0011,002056,2024,09,25,22.2,1,N
IDCJAC0011,002056,2024,09,26,22.9,1,N
IDCJAC0011,002056,2024,09,27,23.5,1,N
IDCJAC0011,002056,2024,09,28,24.6,1,N
